Tweet id	Sentiment	Category
1494924349542830080	1	advice
1494924312477904896	0	advice
1494923803234820096	0	advice
1494923663753330688	0	worldview
1494922608277479427	0	advice
1494921797115858947	0	advice
1494920443597590530	0	worldview
1494920325527932930	0	advice
1494920246914064387	0	worldview
1494920122867548161	0	advice
1494919856453419009	0	worldview
1494919460301455363	1	advice
1494918427684835330	0	worldview
1494918423884623872	0	advice
1494914645261717504	0	advice
1494914143102676993	0	personal-experience
1494911640231452673	0	worldview
1494911632560242688	0	affirmation
1494910295562674177	0	worldview
1494905037067210754	0	worldview
1494902763855269890	0	worldview
1494902269904515074	0	worldview
1494895119358693377	0	advice
1494894618785116163	0	worldview
1494894519879356418	0	worldview
1494891861017726981	0	advice
1494891631253737477	0	advice
1494887689484521473	1	advice
1494887121831616513	0	worldview
1494879663831019520	0	worldview
1494878857937235976	0	worldview
1494878500305739779	0	worldview
1494867398305845251	0	advice
1494850007433981953	0	worldview
1494848481739120645	0	worldview
1494847113204805637	0	advice
1494846697901539335	1	advice
1494845243900166147	0	worldview
1494839500337467400	1	affirmation
1494839177736818692	0	worldview
1494837824666882051	0	advice
1494836875701493760	0	worldview
1494836726426181637	0	worldview
1494833427081830400	0	worldview
1494831892750688260	0	worldview
1494831688836423693	0	advice
1494828793545904129	0	advice
1494828146436182018	1	advice
1494827557618864132	1	worldview
1494826175562072064	0	affirmation
1494824487749046275	1	worldview
1494822854050947072	0	advice
1494822165874626565	0	worldview
1494819507629551617	0	worldview
1494814221552472071	0	worldview
1494813380795904005	0	worldview
1494809187498532869	0	worldview
1494809083295289345	0	worldview
1494808786468589572	0	worldview
1494805506011062284	0	affirmation
1494801433757167616	0	worldview
1494798239597744129	0	worldview
1494797326312951816	0	advice
1494794003744702472	1	worldview
1494793502403801089	0	worldview
1494793330957377537	0	worldview
1494793295075102722	0	advice
1494791566782783493	0	advice
1494791127605645314	0	advice
1494786776120057862	0	advice
1494786008327593985	0	advice
1494784100502319106	0	personal-experience
1494782536731533316	0	worldview
1494782409514049541	0	personal-experience
1494778966850342919	0	worldview
